Sensor ID, Value, Date and Time
0, 0.216, 11/02/2020 00:25:13
1, 0.770, 11/02/2020 00:25:13
2, 0.488, 11/02/2020 00:25:13
3, 0.683, 11/02/2020 00:25:13
4, 0.237, 11/02/2020 00:25:13
5, 0.432, 11/02/2020 00:25:13
6, 0.986, 11/02/2020 00:25:13
7, 0.182, 11/02/2020 00:25:13
8, 1.000, 11/02/2020 00:25:13
9, 1.000, 11/02/2020 00:25:13
10, 0.000, 11/02/2020 00:25:13
11, 0.000, 11/02/2020 00:25:13
Sensor ID, Value, Date and Time
0, 0.360, 11/02/2020 00:25:30
1, 0.914, 11/02/2020 00:25:30
2, 0.109, 11/02/2020 00:25:30
3, 0.663, 11/02/2020 00:25:30
4, 0.858, 11/02/2020 00:25:30
5, 0.412, 11/02/2020 00:25:30
6, 0.607, 11/02/2020 00:25:30
7, 0.325, 11/02/2020 00:25:30
8, 0.000, 11/02/2020 00:25:30
9, 0.000, 11/02/2020 00:25:30
10, 0.000, 11/02/2020 00:25:30
11, 1.000, 11/02/2020 00:25:30
Sensor ID, Value, Date and Time
0, 0.024, 11/02/2020 00:25:56
1, 0.219, 11/02/2020 00:25:56
2, 0.773, 11/02/2020 00:25:56
3, 0.968, 11/02/2020 00:25:56
4, 0.522, 11/02/2020 00:25:56
5, 0.076, 11/02/2020 00:25:56
6, 0.272, 11/02/2020 00:25:56
7, 0.826, 11/02/2020 00:25:56
8, 0.000, 11/02/2020 00:25:56
9, 1.000, 11/02/2020 00:25:56
10, 0.000, 11/02/2020 00:25:56
11, 0.000, 11/02/2020 00:25:56
